"STATION","NAME","DATE","CDSD","EMNT","EMXP","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"CS000081003","PUERTO LIMON, CS","2001-02","359.3","18.0",,"29.6","0.0",,"24.6","28.6","20.5"
"CS000081003","PUERTO LIMON, CS","2001-03","564.2","18.7",,"30.0","0.0",,"24.9","28.7","21.2"
"CS000081003","PUERTO LIMON, CS","2001-04","777.4","19.0",,"30.5","0.0",,"25.4","28.9","21.9"
"CS000081003","PUERTO LIMON, CS","2001-05","1028.7","20.7",,"31.6","0.0",,"26.4","30.3","22.6"
"CS000081003","PUERTO LIMON, CS","2001-06","1261.4","20.3",,"31.0","0.0",,"26.1","29.4","22.8"
"CS000081003","PUERTO LIMON, CS","2001-07","1495.3","20.2",,"31.5","0.0",,"25.9","29.4","22.4"
"CS000081003","PUERTO LIMON, CS","2001-08","1743.0","21.0",,"31.5","0.0",,"26.3","29.6","23.0"
"CS000081003","PUERTO LIMON, CS","2001-09","1976.7","21.2",,"31.4","0.0",,"26.1","29.8","22.4"
"CS000081003","PUERTO LIMON, CS","2001-10","2233.9","21.4",,"31.6","0.0",,"26.6","30.6","22.7"
"CS000081003","PUERTO LIMON, CS","2001-11","2447.6","20.8",,"30.9","0.0",,"25.5","28.6","22.4"
"CS000081003","PUERTO LIMON, CS","2001-12","2666.2","18.5",,"30.2","0.0",,"25.4","29.0","21.8"
"CS000081003","PUERTO LIMON, CS","2002-01","207.3","18.8",,"30.1","0.0",,"25.0","28.7","21.4"
"CS000081003","PUERTO LIMON, CS","2002-02","384.8","18.8",,"30.0","0.0",,"24.7","28.8","20.5"
"CS000081003","PUERTO LIMON, CS","2002-03","593.2","19.3",,"30.5","0.0",,"25.1","28.9","21.2"
"CS000081003","PUERTO LIMON, CS","2002-04","801.8","19.1",,"30.6","0.0",,"25.3","29.4","21.2"
"CS000081003","PUERTO LIMON, CS","2002-05","1034.3","20.4",,"31.3","0.0",,"25.8","29.0","22.6"
"CS000081003","PUERTO LIMON, CS","2002-06","1280.8","21.4",,"32.5","0.0",,"26.6","30.4","22.7"
"CS000081003","PUERTO LIMON, CS","2002-07","1510.0","21.2","271.0","31.5","0.0","903.3","25.7","29.0","22.4"
"CS000081003","PUERTO LIMON, CS","2002-08","1749.5","20.7",,"32.0","0.0",,"26.1","29.6","22.6"
"CS000081003","PUERTO LIMON, CS","2002-09","2001.9","20.4",,"32.2","0.0",,"26.8","31.1","22.4"
"CS000081003","PUERTO LIMON, CS","2002-10","2240.2","20.4",,"32.1","0.0",,"26.0","30.3","21.8"
"CS000081003","PUERTO LIMON, CS","2002-11","2437.6","19.0",,"30.9","0.0",,"24.9","29.0","20.8"
"CS000081003","PUERTO LIMON, CS","2002-12","2648.8","18.7",,"31.1","0.0",,"25.1","29.3","21.0"
"CS000081003","PUERTO LIMON, CS","2003-01","203.8","19.5",,"30.5","0.0",,"24.9","28.8","21.1"
"CS000081003","PUERTO LIMON, CS","2003-02","404.0","20.1",,"30.3","0.0",,"25.5","29.2","21.8"
"CS000081003","PUERTO LIMON, CS","2003-03","646.9","18.5",,"31.4","0.0",,"26.2","30.0","22.3"
"CS000081003","PUERTO LIMON, CS","2003-04","894.3","20.7",,"32.3","0.0",,"26.6","30.4","22.8"
"CS000081003","PUERTO LIMON, CS","2003-05","1157.5","22.0",,"32.7","0.0",,"26.8","30.1","23.5"
"CS000081003","PUERTO LIMON, CS","2003-06","1409.5","21.7",,"32.4","0.0",,"26.7","30.1","23.3"
"CS000081003","PUERTO LIMON, CS","2003-07","1661.6","21.4",,"32.0","0.0",,"26.5","29.6","23.4"
"CS000081003","PUERTO LIMON, CS","2003-08","1907.9","21.6",,"31.1","0.0",,"26.3","29.6","22.9"
"CS000081003","PUERTO LIMON, CS","2003-09","2163.8","21.4",,"31.9","0.0",,"26.9","30.7","23.0"
"CS000081003","PUERTO LIMON, CS","2003-10","2433.3","21.9",,"32.4","0.0",,"27.0","30.8","23.3"
"CS000081003","PUERTO LIMON, CS","2003-11","2675.6","22.0",,"31.7","0.0",,"26.4","29.9","22.9"
"CS000081003","PUERTO LIMON, CS","2003-12","2892.5","20.9",,"31.0","0.0",,"25.3","28.5","22.2"
"CS000081003","PUERTO LIMON, CS","2004-01","205.5","19.3",,"30.5","0.0",,"25.0","28.5","21.4"
"CS000081003","PUERTO LIMON, CS","2004-02","407.8","19.2",,"31.8","0.0",,"25.3","29.2","21.4"
"CS000081003","PUERTO LIMON, CS","2004-03","632.4","20.0",,"31.0","0.0",,"25.6","29.4","21.8"
"CS000081003","PUERTO LIMON, CS","2004-04","838.4","18.7",,"31.0","0.0",,"25.2","29.8","20.6"
"CS000081003","PUERTO LIMON, CS","2004-05","1058.6","17.8",,"30.1","0.0",,"25.4","28.5","22.3"
"CS000081003","PUERTO LIMON, CS","2004-06","1283.9","20.4",,"30.7","0.0",,"25.8","29.1","22.5"
"CS000081003","PUERTO LIMON, CS","2004-07","1508.1","21.0",,"30.5","0.0",,"25.6","29.0","22.1"
"CS000081003","PUERTO LIMON, CS","2004-09",,"20.5",,"32.6",,,"25.9","30.0","21.7"
"CS000081003","PUERTO LIMON, CS","2004-11",,"20.2","204.2","30.1",,"630.4","25.0","28.7","21.4"
"CS000081003","PUERTO LIMON, CS","2004-12",,"18.3","172.7","30.0",,"688.1","24.4","28.6","20.2"
"CS000081003","PUERTO LIMON, CS","2005-01",,,"348.0",,,"877.0",,,
